run,nu_true,nu_pred,abs_error,rel_error_pct,best_val_loss,ic,nu_class
29,0.41406803747393317,0.3592211902141571,0.054846847259776066,13.245853892605473,3.761358675546944e-05,Gauss,high
30,0.049007949821130194,0.06895187497138977,0.019943925150259577,40.695285607847616,4.379500387585722e-05,Gauss,low
31,0.04491956305487545,0.06895550340414047,0.024035940349265025,53.508847180685635,6.322771514533088e-05,Gauss,low
32,0.017790611981801152,0.03970327600836754,0.021912664026566386,123.16981590617497,0.00014338578330352902,Gauss,low
33,0.3309490321336603,0.24608291685581207,0.08486611527784821,25.643258338212437,8.766882092459127e-05,Gauss,high
34,0.20580100839766013,0.1858959197998047,0.019905088597855447,9.672007320485879,2.647630390129052e-05,Gauss,high
35,0.15890141349701703,0.1634468287229538,0.004545415225936766,2.860525357140448,1.151701872004196e-05,Gauss,high
36,0.03547161285069726,0.06813565641641617,0.032664043565718906,92.08502501198457,0.00016420787142124027,Gauss,low
37,0.17756026336305686,0.15117840468883514,0.026381858674221714,14.857974512168198,3.1655716156819835e-05,Gauss,high
38,0.025502473259970432,0.061500050127506256,0.035997576867535824,141.15327756872458,0.00023952637275215238,Gauss,low
39,0.3066020906699994,0.27232998609542847,0.034272104574570916,11.17804007783447,1.927596895257011e-05,Gauss,high
40,0.039409306410201586,0.07007094472646713,0.030661638316265546,77.80303971127086,0.00011888214066857472,Gauss,low
41,0.04740929415600847,0.07234253734350204,0.024933243187493577,52.59146678169566,7.752631063340232e-05,Gauss,low
42,0.0453427035690484,0.07182298600673676,0.02648028243768836,58.40031659639323,9.858440171228722e-05,Gauss,low
43,0.1119761807350767,0.12180115282535553,0.009824972090278827,8.774162527942998,1.0256612767989282e-05,Gauss,high
44,0.26800542984928144,0.2191227674484253,0.04888266240085615,18.239429860934667,4.251338032190688e-05,Gauss,high
45,0.01452439565368311,0.04146445542573929,0.026940059772056178,185.48145075643606,0.00023680484446231276,Gauss,low
46,0.008822067030015692,0.02487330138683319,0.016051234356817497,181.94414418078782,0.00021035794634371996,Gauss,low
47,0.03209651087394832,0.05591743066906929,0.023820919795120972,74.216539887068,9.507143113296479e-05,Gauss,low
48,0.04803466722187023,0.07488639652729034,0.026851729305420118,55.90072932407971,9.932616376318038e-05,Gauss,low
49,0.1517847544994287,0.14278389513492584,0.009000859364502845,5.930015431514713,1.2367923773126677e-05,Gauss,high
50,0.032733452590464854,0.05012872442603111,0.01739527183556626,53.14218470383244,5.657187648466788e-05,Gauss,low
51,0.01356518350491057,0.03979486972093582,0.026229686216025252,193.36034935708875,0.0002720118791330606,Gauss,low
52,0.35570859181737224,0.35131019353866577,0.004398398278706472,1.236517300927242,3.853149792121258e-06,Gauss,high
53,0.3709355445733639,0.353733092546463,0.017202452026900905,4.6375852297159925,8.137177246680949e-06,Gauss,high
54,0.26106335233642125,0.2351464331150055,0.025916919221415757,9.927444426599457,1.540416451462079e-05,Gauss,high
55,0.15735768888782517,0.1442948579788208,0.01306283090900437,8.301361694703338,1.4562930118700024e-05,Gauss,high
56,0.017650534272442907,0.038306400179862976,0.02065586590742007,117.02685929269161,0.00013406148354988545,Gauss,low
57,0.07117673776314257,0.08738524466753006,0.016208506904387493,22.772196947723476,2.455296998959966e-05,Gauss,high
58,0.0051514299623027365,0.01547185331583023,0.010320423353527494,200.3409427877414,0.0005791656440123916,Gauss,low
1,0.025989407007548662,0.054502878338098526,0.028513471330549864,109.71189655180697,0.00016093773592729121,Gauss,low
2,0.26539208150712434,0.2602672874927521,0.005124794014372269,1.9310274765054345,2.3048014554660767e-06,Gauss,high
3,0.028997383563539748,0.0630905032157898,0.03409311965225005,117.57308923249717,0.00020616364781744778,Gauss,low
4,0.47652864564858893,0.4253771901130676,0.051151455535521306,10.734182719676923,1.998150946747046e-05,Gauss,high
5,0.41560978231466916,0.3601086735725403,0.05550110874212888,13.354139171851234,2.7915239115827717e-05,Gauss,high
6,0.09690421853176695,0.11176090687513351,0.014856688343366564,15.331312267376958,2.0880897864117287e-05,Gauss,high
7,0.04259871710686486,0.055538952350616455,0.012940235243751597,30.37705387063465,2.7460835553938523e-05,Gauss,low
8,0.04318209162103343,0.077653668820858,0.03447157719982457,79.82841012507582,0.00014937356172595173,Gauss,low
9,0.21484385119513982,0.19738523662090302,0.017458614574236808,8.12618768334188,1.2574794709507842e-05,Gauss,high
