number,value,datetime_start,datetime_complete,duration,params_dropout_rate,params_hidden,params_lambda_ic,params_lambda_phys,params_lr,params_n_layers,params_scheduler_gamma,params_scheduler_step,state
36,0.002365229418501258,2026-05-15 12:52:56.974685,2026-05-15 12:53:20.469880,0 days 00:00:23.495195,0.015581599159762649,64,2.4995576833490367,0.5938131829412322,0.0067953437161007045,4,0.36254147242667906,4000,COMPLETE
37,0.09654201567173004,2026-05-15 12:53:20.484678,2026-05-15 12:53:20.950473,0 days 00:00:00.465795,0.013925636216849701,64,2.4651130146812434,0.4109542907444587,0.0019093150747627823,5,0.7160092476621733,4500,PRUNED
38,0.1113625094294548,2026-05-15 12:53:20.957992,2026-05-15 12:53:21.362069,0 days 00:00:00.404077,0.01703271316758076,48,5.952720904985866,0.2529519223160481,0.0037123713079667804,4,0.6399603762918951,4000,PRUNED
39,0.0021790452301502228,2026-05-15 12:53:21.368580,2026-05-15 12:53:40.553127,0 days 00:00:19.184547,0.001147916468724372,80,1.3014938106053302,0.7459203295160153,0.005857131061110801,4,0.372565790028775,4500,COMPLETE
40,0.002188396640121937,2026-05-15 12:53:40.570643,2026-05-15 12:54:03.188061,0 days 00:00:22.617418,0.0007635777943726589,80,1.2363647937796463,0.6842918626953054,0.006990117399255659,3,0.5129494714919167,4500,COMPLETE
41,0.11377624422311783,2026-05-15 12:54:03.201185,2026-05-15 12:54:03.367548,0 days 00:00:00.166363,0.002425752649561926,80,1.2406999618027226,0.657097454898474,0.006332702574696412,2,0.4660662612174479,4500,PRUNED
42,0.0022767819464206696,2026-05-15 12:54:03.375587,2026-05-15 12:54:25.671940,0 days 00:00:22.296353,0.00557806092228994,80,1.6790692474672815,0.7229835234036595,0.0067950238068245124,3,0.5292079517594794,4000,COMPLETE
43,0.0021949945949018,2026-05-15 12:54:25.681849,2026-05-15 12:54:51.708748,0 days 00:00:26.026899,0.011209660995336693,80,1.6035694510932348,0.7386903413649231,0.005159063963046226,3,0.5504222268484195,4000,COMPLETE
44,0.1039864718914032,2026-05-15 12:54:51.724416,2026-05-15 12:54:51.903224,0 days 00:00:00.178808,0.009794725927709177,80,1.5830185892337343,0.20581043542907504,0.0053231630609996234,2,0.5629879335520551,4500,PRUNED
45,0.13315996527671814,2026-05-15 12:54:51.909883,2026-05-15 12:54:52.109902,0 days 00:00:00.200019,0.0012502296286052133,96,1.0078778709614742,1.9840538339525513,0.0032145398240499843,3,0.5175431540962366,4000,PRUNED
46,0.10284260660409927,2026-05-15 12:54:52.116416,2026-05-15 12:54:52.326533,0 days 00:00:00.210117,0.04752412639010776,80,1.8526230368869192,0.9035718088679342,0.004837392107142874,3,0.6277200719849889,3500,PRUNED
