trial,state,rmse,hidden,n_layers,lambda_phys,lambda_ic,lr,scheduler_gamma,scheduler_step,adam_beta1,adam_beta2
154,complete,1.7604809272597777e-06,48,5,8.97534368782521,49.34659436386196,0.0076750773492557005,0.4793671757654921,1000,0.8783307776141148,0.9946498891190811
158,complete,2.1367422959883697e-06,48,5,6.222951994218733,72.74855087247133,0.0091855779528166,0.4560606886510279,1000,0.8793457483430217,0.9948598004031488
160,complete,1.914847416628618e-06,48,5,6.117793474307202,64.63249210239202,0.009212616120893123,0.45920993868506954,1000,0.8798196062954123,0.994439991678515
161,complete,1.791865315681207e-06,48,5,7.678291792831327,72.87634514888485,0.009283059908099299,0.4637496170622345,1000,0.8791773449120477,0.9944499924050986
162,complete,1.925586502693477e-06,48,5,6.354338591443661,73.51010376195178,0.009340400316454233,0.4662820302114546,1000,0.8785748449961805,0.9943247559907706
163,complete,2.1586565708275884e-06,48,5,6.170735305719768,76.10680165350954,0.009110312045692447,0.46232902937746634,1000,0.8794826980173488,0.9944988488706998
164,complete,2.3402269562211586e-06,48,5,7.025048780767045,70.45414302900572,0.007647227682318235,0.5023868358427255,1000,0.8850036585395207,0.9943448286898029
169,complete,3.3780700050556334e-06,48,5,7.683653157162812,67.42930017073488,0.008185046369731339,0.4557953108840113,1000,0.8768232865450932,0.9936338020146542
176,complete,1.8597874031911488e-06,48,5,8.52237775674758,58.072695053670486,0.009187694291297467,0.44819797375344433,1000,0.8895340750274616,0.9937491380997054
177,complete,1.6671797311573755e-06,48,5,9.693840046719775,57.592112611485604,0.008243976777316276,0.4463587862878519,1000,0.8904378227435412,0.9937499820337453
178,complete,1.6107525198094663e-06,48,5,8.93865715237737,58.2529655848113,0.008138720260569677,0.41100949041597196,1000,0.8905822568555288,0.9938410464031218
181,complete,2.2658505258732475e-06,48,5,7.686406908751249,63.27112957881415,0.008364381555201627,0.4167861135995401,1000,0.8949957327226343,0.9939785485053327
182,complete,2.036112846326432e-06,48,5,8.211228718636054,54.97257621988775,0.008105369526180298,0.424060104758529,1000,0.8998405879248794,0.9937576314398804
185,complete,2.323688931937795e-06,48,5,4.992912330073189,48.45119872671584,0.008319838943895418,0.43514665666282304,1000,0.8951443223362896,0.9935213777170384
190,complete,2.707358362386003e-06,48,5,4.770416905339436,62.426616716703656,0.008237456436672364,0.43014544773900865,1000,0.8904143813217651,0.9941082547178545
191,complete,1.879015144368168e-06,48,5,6.231788592028382,71.10023298368392,0.008991076325386477,0.45301970108185713,1000,0.9048366670459415,0.9935350111065732
192,complete,1.8633918443811126e-06,48,5,5.5767620526787764,45.23545755097032,0.008470623843471827,0.4803312256779323,1000,0.8862367598301535,0.9936055143164261
